heldout_magnification,support_size,support_seed,seed,selected_expert,oracle_expert,support_nelbo_selected,eval_nelbo_selected,eval_nelbo_oracle,oracle_gap_pct,metadata_selected_expert,static_embedding_selected_expert
200,4,31,42,400,100,286.04432678222656,374.64624930201995,374.2094926774576,0.11671446959759596,40,100
200,4,31,43,400,400,408.5362319946289,366.64054872477715,366.64054872477715,0.0,40,100
200,4,31,44,400,400,410.39693450927734,364.6295450846354,364.6295450846354,0.0,40,100
200,8,17,42,100,400,338.70714378356934,367.13843799937854,361.05840345262646,1.6839476629297787,40,100
200,8,17,43,100,400,343.4345512390137,404.2157638617222,365.9382598607284,10.460098929136779,40,100
200,8,17,44,400,400,346.1128349304199,363.61817944352237,363.61817944352237,0.0,40,100
200,8,23,42,100,400,300.794469833374,383.004498395797,374.1798839650952,2.3583882535825937,40,100
200,8,23,43,400,400,367.6212558746338,367.1056956186824,367.1056956186824,0.0,40,100
200,8,23,44,100,400,317.53196144104004,394.0722502402787,365.226372636168,7.8980817830607455,40,100
200,8,31,42,400,400,378.94036865234375,374.46314824314896,374.46314824314896,0.0,40,100
200,8,31,43,400,400,370.12204933166504,369.3218697007226,369.3218697007226,0.0,40,100
200,8,31,44,400,400,516.9259490966797,362.61508749312713,362.61508749312713,0.0,40,400
200,16,17,42,100,400,350.1815938949585,373.53016975676394,362.3114677520387,3.096424762465196,40,400
200,16,17,43,100,400,398.95172691345215,403.7580982322124,362.0693745968947,11.514015423627386,40,100
200,16,17,44,400,400,366.59828758239746,363.9678207651304,363.9678207651304,0.0,40,100
200,16,23,42,400,400,390.53547954559326,362.9088762174777,362.9088762174777,0.0,40,100
200,16,23,43,400,400,414.20951652526855,349.64655690819325,349.64655690819325,0.0,40,100
200,16,23,44,400,400,414.11734199523926,347.0832328578404,347.0832328578404,0.0,40,100
200,16,31,42,400,400,417.1613941192627,371.5024831394535,371.5024831394535,0.0,40,100
200,16,31,43,400,400,366.64880180358887,378.5052226433387,378.5052226433387,0.0,40,100
200,16,31,44,400,400,425.0624990463257,368.3415482886752,368.3415482886752,0.0,40,100
200,32,17,42,100,400,360.2220311164856,326.18868431678186,320.2756841535399,1.8462220067906523,40,100
200,32,17,43,400,400,411.4367685317993,338.47321086682774,338.47321086682774,0.0,40,100
200,32,17,44,100,400,364.4413380622864,378.726274302308,337.7677159913829,12.126250192593913,40,100
200,32,23,42,100,400,371.52579498291016,372.78610543325436,371.9432927124889,0.22659710156863314,40,100
200,32,23,43,400,400,373.55691385269165,358.50282040634596,358.50282040634596,0.0,40,100
200,32,23,44,400,400,388.5301556587219,336.3913932510569,336.3913932510569,0.0,40,100
200,32,31,42,100,400,420.61467933654785,368.9901125468905,359.23050290062315,2.716809838658722,40,100
200,32,31,43,400,400,357.938184261322,386.56375521461433,386.56375521461433,0.0,40,100
200,32,31,44,400,400,400.9097275733948,354.00345943941926,354.00345943941926,0.0,40,100
400,4,17,42,200,200,486.7779998779297,453.49704408398566,453.49704408398566,0.0,40,200
400,4,17,43,200,200,508.6238021850586,453.11656053331166,453.11656053331166,0.0,40,200
400,4,17,44,200,200,474.30606842041016,449.23347147208494,449.23347147208494,0.0,40,200
400,4,23,42,200,200,490.8175048828125,456.28776410502775,456.28776410502775,0.0,40,200
400,4,23,43,200,200,322.76649475097656,467.2020582448286,467.2020582448286,0.0,40,200
400,4,23,44,200,200,397.15087890625,460.38962986414106,460.38962986414106,0.0,40,200
400,4,31,42,200,200,455.0515441894531,452.51161599583907,452.51161599583907,0.0,40,200
400,4,31,43,200,200,404.3959045410156,462.0122608656294,462.0122608656294,0.0,40,200
400,4,31,44,200,200,362.3101348876953,455.324643049569,455.324643049569,0.0,40,200
400,8,17,42,200,200,423.71134185791016,464.5856730744265,464.5856730744265,0.0,40,200
400,8,17,43,200,200,497.0043830871582,450.3726358327261,450.3726358327261,0.0,40,200
400,8,17,44,200,200,454.98427963256836,451.1056990485576,451.1056990485576,0.0,40,200
