scope,method,heldout_center,k,selected_expert,count,share
by_center_k,source_global_prior_routing,1,8,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,2,16,0,2,0.2222222222222222
by_center_k,source_global_prior_routing,2,16,1,4,0.4444444444444444
by_center_k,source_global_prior_routing,2,16,3,3,0.3333333333333333
by_center_k,source_global_prior_routing,2,32,0,2,0.2222222222222222
by_center_k,source_global_prior_routing,2,32,1,4,0.4444444444444444
by_center_k,source_global_prior_routing,2,32,3,3,0.3333333333333333
by_center_k,source_global_prior_routing,2,4,0,1,0.1111111111111111
by_center_k,source_global_prior_routing,2,4,1,5,0.5555555555555556
by_center_k,source_global_prior_routing,2,4,3,3,0.3333333333333333
by_center_k,source_global_prior_routing,2,8,0,1,0.1111111111111111
by_center_k,source_global_prior_routing,2,8,1,5,0.5555555555555556
by_center_k,source_global_prior_routing,2,8,3,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,16,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,16,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,16,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,32,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,32,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,32,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,4,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,4,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,4,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,8,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,8,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,3,8,4,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,16,0,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,16,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,16,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,32,0,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,32,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,32,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,4,0,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,4,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,4,2,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,8,0,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,8,1,3,0.3333333333333333
by_center_k,source_global_prior_routing,4,8,2,3,0.3333333333333333
overall,static_embedding_routing,,,0,64,0.35555555555555557
overall,static_embedding_routing,,,1,35,0.19444444444444445
overall,static_embedding_routing,,,2,7,0.03888888888888889
overall,static_embedding_routing,,,3,54,0.3
overall,static_embedding_routing,,,4,20,0.1111111111111111
by_center_k,static_embedding_routing,0,16,3,9,1.0
by_center_k,static_embedding_routing,0,32,3,9,1.0
by_center_k,static_embedding_routing,0,4,1,2,0.2222222222222222
by_center_k,static_embedding_routing,0,4,3,7,0.7777777777777778
by_center_k,static_embedding_routing,0,8,1,1,0.1111111111111111
by_center_k,static_embedding_routing,0,8,3,8,0.8888888888888888
by_center_k,static_embedding_routing,1,16,0,5,0.5555555555555556
by_center_k,static_embedding_routing,1,16,2,1,0.1111111111111111
by_center_k,static_embedding_routing,1,16,3,3,0.3333333333333333
by_center_k,static_embedding_routing,1,32,0,6,0.6666666666666666
by_center_k,static_embedding_routing,1,32,3,3,0.3333333333333333
by_center_k,static_embedding_routing,1,4,0,5,0.5555555555555556
by_center_k,static_embedding_routing,1,4,3,4,0.4444444444444444
by_center_k,static_embedding_routing,1,8,0,6,0.6666666666666666
by_center_k,static_embedding_routing,1,8,3,3,0.3333333333333333
by_center_k,static_embedding_routing,2,16,0,1,0.1111111111111111
by_center_k,static_embedding_routing,2,16,1,2,0.2222222222222222
by_center_k,static_embedding_routing,2,16,4,6,0.6666666666666666
by_center_k,static_embedding_routing,2,32,0,1,0.1111111111111111
by_center_k,static_embedding_routing,2,32,1,3,0.3333333333333333
by_center_k,static_embedding_routing,2,32,4,5,0.5555555555555556
by_center_k,static_embedding_routing,2,4,0,2,0.2222222222222222
by_center_k,static_embedding_routing,2,4,1,3,0.3333333333333333
by_center_k,static_embedding_routing,2,4,4,4,0.4444444444444444
by_center_k,static_embedding_routing,2,8,1,4,0.4444444444444444
by_center_k,static_embedding_routing,2,8,4,5,0.5555555555555556
by_center_k,static_embedding_routing,3,16,0,5,0.5555555555555556
by_center_k,static_embedding_routing,3,16,1,4,0.4444444444444444
by_center_k,static_embedding_routing,3,32,0,6,0.6666666666666666
by_center_k,static_embedding_routing,3,32,1,3,0.3333333333333333
by_center_k,static_embedding_routing,3,4,0,4,0.4444444444444444
by_center_k,static_embedding_routing,3,4,1,5,0.5555555555555556
by_center_k,static_embedding_routing,3,8,0,5,0.5555555555555556
by_center_k,static_embedding_routing,3,8,1,4,0.4444444444444444
by_center_k,static_embedding_routing,4,16,0,4,0.4444444444444444
by_center_k,static_embedding_routing,4,16,2,2,0.2222222222222222
by_center_k,static_embedding_routing,4,16,3,3,0.3333333333333333
by_center_k,static_embedding_routing,4,32,0,4,0.4444444444444444
by_center_k,static_embedding_routing,4,32,2,2,0.2222222222222222
by_center_k,static_embedding_routing,4,32,3,3,0.3333333333333333
by_center_k,static_embedding_routing,4,4,0,6,0.6666666666666666
by_center_k,static_embedding_routing,4,4,1,2,0.2222222222222222
by_center_k,static_embedding_routing,4,4,3,1,0.1111111111111111
by_center_k,static_embedding_routing,4,8,0,4,0.4444444444444444
by_center_k,static_embedding_routing,4,8,1,2,0.2222222222222222
by_center_k,static_embedding_routing,4,8,2,2,0.2222222222222222
by_center_k,static_embedding_routing,4,8,3,1,0.1111111111111111
