scope,method,heldout_center,k,n_decisions,mean_oracle_gap_pct,max_oracle_gap_pct,high_regret_rate_gt1,high_regret_rate_gt2,high_regret_rate_gt5
by_center,static_embedding_routing,0,,36,0.4965439178565434,6.739616149046143,0.08333333333333333,0.08333333333333333,0.08333333333333333
by_center,static_embedding_routing,1,,36,3.724996404111596,11.124944794484579,0.6388888888888888,0.6388888888888888,0.6111111111111112
by_center,static_embedding_routing,2,,36,4.550638306715464,15.216847342574361,0.4166666666666667,0.4166666666666667,0.3333333333333333
by_center,static_embedding_routing,3,,36,5.443314660353772,13.117294742771438,0.6666666666666666,0.5833333333333334,0.5833333333333334
by_center,static_embedding_routing,4,,36,2.881217569423682,8.978022395569505,0.4444444444444444,0.4444444444444444,0.4166666666666667
by_center_k,conservative_support_nelbo,0,16,9,0.0,0.0,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,0,32,9,0.0,0.0,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,0,4,9,0.7488462387829048,6.739616149046143,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,conservative_support_nelbo,0,8,9,2.8713416571736636,18.8762870033989,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,conservative_support_nelbo,1,16,9,1.2361049771649533,11.124944794484579,0.1111111111111111,0.1111111111111111,0.1111111111111111
by_center_k,conservative_support_nelbo,1,32,9,0.0,0.0,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,1,4,9,1.6913387617079791,9.858992544040733,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,conservative_support_nelbo,1,8,9,2.3195015915820183,10.736206741031717,0.2222222222222222,0.2222222222222222,0.2222222222222222
by_center_k,conservative_support_nelbo,2,16,9,0.3899958688704911,2.171842077727136,0.1111111111111111,0.1111111111111111,0.0
by_center_k,conservative_support_nelbo,2,32,9,0.359636164750752,2.2286082906311027,0.1111111111111111,0.1111111111111111,0.0
by_center_k,conservative_support_nelbo,2,4,9,0.7015332829169664,3.847943344166047,0.2222222222222222,0.1111111111111111,0.0
by_center_k,conservative_support_nelbo,2,8,9,0.29137136233721994,2.114976150273501,0.1111111111111111,0.1111111111111111,0.0
by_center_k,conservative_support_nelbo,3,16,9,0.0,0.0,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,3,32,9,0.2334011526753478,2.1006103740781303,0.1111111111111111,0.1111111111111111,0.0
by_center_k,conservative_support_nelbo,3,4,9,0.22104523401836515,1.9894071061652863,0.1111111111111111,0.0,0.0
by_center_k,conservative_support_nelbo,3,8,9,0.19482455364706033,1.753420982823543,0.1111111111111111,0.0,0.0
by_center_k,conservative_support_nelbo,4,16,9,0.06417682372345511,0.577591413511096,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,4,32,9,0.10870990507419748,0.8954583479297338,0.0,0.0,0.0
by_center_k,conservative_support_nelbo,4,4,9,1.2213512855741573,4.336870301189961,0.3333333333333333,0.3333333333333333,0.0
by_center_k,conservative_support_nelbo,4,8,9,0.37577906264489797,2.5618885262719355,0.1111111111111111,0.1111111111111111,0.0
by_center_k,direct_support_nelbo,0,16,9,0.0,0.0,0.0,0.0,0.0
