experiment_seed,heldout_center,support_size,support_seed,method,source_method,deterministic_selected_expert,oracle_expert,selection_stability,p_oracle_selected,p_eval_rank_le_2,mean_bootstrap_oracle_gap_pct,ci_low_oracle_gap_pct,ci_high_oracle_gap_pct,p_high_regret_gt_2,p_catastrophic_gt_5,p_selection_changed,mean_bootstrap_support_margin,margin_bin,split_id
42,3,16,23,direct_support_nelbo,support_set_nelbo_top1,1,1,0.9996,0.9996,1.0,0.005246917897108575,0.0,0.0,0.0004,0.0004,0.0004,37.66369426527023,q4_high,target3_seed23_random_k16
42,3,32,23,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73921513688564,q4_high,target3_seed23_random_k32
42,3,4,31,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.19817657470703,q4_high,target3_seed31_random_k4
42,3,8,31,direct_support_nelbo,support_set_nelbo_top1,1,1,0.9994,0.9994,1.0,0.007833598998158268,0.0,0.0,0.0006,0.0006,0.0006,59.94795660839081,q4_high,target3_seed31_random_k8
42,3,16,31,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.68023557434082,q4_high,target3_seed31_random_k16
42,3,32,31,direct_support_nelbo,support_set_nelbo_top1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.39628162302971,q4_high,target3_seed31_random_k32
42,4,4,17,direct_support_nelbo,support_set_nelbo_top1,2,1,0.675,0.0,0.325,3.07714305323937,0.4607864613419891,4.336870301189961,0.675,0.0,0.325,29.625443043518068,q2_mid_low,target4_seed17_random_k4
42,4,8,17,direct_support_nelbo,support_set_nelbo_top1,0,1,0.7721,0.0105,0.7826,1.2898944793837521,0.4928979754961687,4.182741271863663,0.2174,0.0,0.2279,16.594110071372985,q2_mid_low,target4_seed17_random_k8
42,4,16,17,direct_support_nelbo,support_set_nelbo_top1,0,1,0.8403,0.0919,0.9322,0.7675144231836546,0.0,4.161716200741603,0.0678,0.0,0.1597,12.866343679618835,q2_mid_low,target4_seed17_random_k16
42,4,32,17,direct_support_nelbo,support_set_nelbo_top1,0,1,0.8688,0.0534,0.9222,1.1391977888315312,0.0,4.642976557200237,0.0778,0.0,0.1312,9.290828266382217,q2_mid_low,target4_seed17_random_k32
42,4,4,23,direct_support_nelbo,support_set_nelbo_top1,2,1,0.7942,0.1169,0.2058,3.3729645114603524,0.0,4.217840519864204,0.7942,0.0,0.2058,38.83639077758789,q3_mid_high,target4_seed23_random_k4
42,4,8,23,direct_support_nelbo,support_set_nelbo_top1,0,1,0.5038,0.2366,0.7404,1.20788768724557,0.0,4.017841683327599,0.2596,0.0,0.4962,12.613664469528198,q1_low,target4_seed23_random_k8
42,4,16,23,direct_support_nelbo,support_set_nelbo_top1,1,1,0.7817000000000001,0.7817,0.9751,0.09936817100044121,0.0,0.06088293585083478,0.0249,0.0003,0.2183,12.087166197013856,q1_low,target4_seed23_random_k16
42,4,32,23,direct_support_nelbo,support_set_nelbo_top1,1,1,0.6171,0.6171,0.995,0.0813663231756576,0.0,0.16984342888826065,0.005,0.0,0.3829,6.810762100410462,q1_low,target4_seed23_random_k32
42,4,4,31,direct_support_nelbo,support_set_nelbo_top1,1,1,0.6346,0.6346,0.6346,1.4336458452329313,0.0,3.9234971133906162,0.3654,0.0,0.3654,28.217498237609863,q2_mid_low,target4_seed31_random_k4
42,4,8,31,direct_support_nelbo,support_set_nelbo_top1,1,1,0.7269,0.7269,0.779,0.8991447637469613,0.0,3.8854065264573476,0.221,0.009,0.2731,14.033378169441223,q2_mid_low,target4_seed31_random_k8
42,4,16,31,direct_support_nelbo,support_set_nelbo_top1,1,1,0.7034,0.7034,0.7866,0.8552720339435851,0.0,3.9809009576572096,0.2134,0.0004,0.2966,12.14766302986145,q2_mid_low,target4_seed31_random_k16
42,4,32,31,direct_support_nelbo,support_set_nelbo_top1,1,0,0.8325,0.1559,0.9884,0.10926538931248035,0.0,0.08293079773804353,0.0116,0.0,0.1675,9.59630049214363,q1_low,target4_seed31_random_k32
