matched_key,dataset_name,backbone_type,run_id,target_domain,support_seed,support_size_requested,sampling_policy,sampling_policy_effective,support_gap,metadata_gap,embedding_gap,normalized_gap_reduction_vs_metadata,normalized_gap_reduction_vs_static_embedding,top1_delta_vs_metadata,top1_delta_vs_static_embedding,safe_audit
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|8|class_balanced|class_balanced|target200_seed23_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,8,class_balanced,class_balanced,0.7842127106919289,0.7842127106919289,0.7842127106919289,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|23|8|random|random|target200_seed23_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,23,8,random,random,1.0,0.39561450608030974,0.39561450608030974,-0.6043854939196902,-0.6043854939196902,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|16|class_balanced|class_balanced|target200_seed31_class_balanced_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,16,class_balanced,class_balanced,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|16|random|random|target200_seed31_random_k16,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,16,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|32|class_balanced|class_balanced|target200_seed31_class_balanced_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,32,class_balanced,class_balanced,0.9081463769494064,0.9081463769494064,0.9081463769494064,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|32|random|random|target200_seed31_random_k32,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,32,random,random,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|4|class_balanced|class_balanced|target200_seed31_class_balanced_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,4,class_balanced,class_balanced,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|4|random|random|target200_seed31_random_k4,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,4,random,random,1.0,0.24569716986806556,0.24569716986806556,-0.7543028301319344,-0.7543028301319344,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|64|class_balanced|random_fallback|target200_seed31_random_fallback_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,64,class_balanced,random_fallback,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|64|random|random|target200_seed31_random_k64,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,64,random,random,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|8|class_balanced|class_balanced|target200_seed31_class_balanced_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,8,class_balanced,class_balanced,0.7743844975574152,0.7743844975574152,0.7743844975574152,0.0,0.0,0.0,0.0,1
breakhis|dinov2_vitb14|2026-03-18_1538_seed42|200|31|8|random|random|target200_seed31_random_k8,breakhis,dinov2_vitb14,2026-03-18_1538_seed42,200,31,8,random,random,0.7456965682307626,0.7456965682307626,0.7456965682307626,0.0,0.0,0.0,0.0,1
